Specimen label,"4A"
Material,6061 Aluminum

Extension,Load
(in),(lbf)
"0.0000","-0.0245"
"0.0002","28.6757"
"0.0004","57.5961"
"0.0006","86.9886"
"0.0009","115.5141"
"0.0012","144.8153"
"0.0015","173.1530"
"0.0019","202.4753"
"0.0023","231.0742"
"0.0027","260.0009"
"0.0032","288.1355"
"0.0036","316.7439"
"0.0041","345.6487"
"0.0046","374.3431"
"0.0051","403.2284"
"0.0056","431.7574"
"0.0062","460.2142"
"0.0067","489.0293"
"0.0072","517.1516"
"0.0078","545.4154"
"0.0084","574.3238"
"0.0090","602.7461"
"0.0096","631.4006"
"0.0102","659.9850"
"0.0108","688.1523"
"0.0115","716.5407"
"0.0121","744.7063"
"0.0128","773.4803"
"0.0135","802.2283"
"0.0142","830.7318"
"0.0149","859.3901"
"0.0157","887.8870"
"0.0164","916.3718"
"0.0171","944.6898"
"0.0178","972.9392"
"0.0186","1001.6761"
"0.0193","1029.8127"
"0.0201","1058.2936"
"0.0208","1086.6631"
"0.0215","1114.9943"
"0.0222","1143.1289"
"0.0230","1171.2955"
"0.0237","1199.4846"
"0.0244","1228.0490"
"0.0251","1256.7707"
"0.0257","1284.9097"
"0.0264","1313.5760"
"0.0271","1342.0977"
"0.0278","1370.8828"
"0.0284","1399.2790"
"0.0291","1427.8122"
"0.0297","1456.4426"
"0.0304","1485.2225"
"0.0310","1513.8715"
"0.0317","1542.4692"
"0.0323","1570.5920"
"0.0329","1599.4497"
"0.0335","1627.7365"
"0.0341","1656.0454"
"0.0348","1684.2557"
"0.0354","1712.4742"
"0.0361","1740.7326"
"0.0368","1769.0097"
"0.0373","1797.1653"
"0.0379","1825.5080"
"0.0385","1854.3456"
"0.0391","1883.1565"
"0.0397","1911.7255"
"0.0402","1940.0797"
"0.0408","1968.7049"
"0.0414","1997.3816"
"0.0420","2026.2026"
"0.0426","2055.0234"
"0.0431","2083.8784"
"0.0437","2112.6263"
"0.0443","2141.4148"
"0.0448","2169.5921"
"0.0454","2198.4256"
"0.0459","2226.8479"
"0.0465","2255.5202"
"0.0470","2284.4385"
"0.0476","2313.0061"
"0.0481","2341.7175"
"0.0486","2369.8700"
"0.0492","2398.6258"
"0.0497","2426.7761"
"0.0503","2455.1795"
"0.0508","2483.3606"
"0.0513","2512.1236"
"0.0519","2540.3360"
"0.0524","2569.2622"
"0.0529","2597.6333"
"0.0535","2626.1625"
"0.0540","2655.0439"
"0.0546","2683.9024"
"0.0551","2712.2387"
"0.0557","2741.1582"
"0.0562","2770.0907"
"0.0568","2798.5266"
"0.0574","2827.3663"
"0.0580","2856.1069"
"0.0586","2884.2871"
"0.0593","2912.5175"
"0.0600","2941.0443"
"0.0608","2969.4583"
"0.0617","2997.8129"
"0.0626","3026.3204"
"0.0636","3054.8079"
"0.0647","3083.1422"
"0.0658","3111.2936"
"0.0671","3139.5807"
"0.0684","3167.9722"
"0.0699","3196.3412"
"0.0715","3224.4533"
"0.0731","3251.2611"
"0.0748","3275.6943"
"0.0765","3298.4626"
"0.0781","3319.2559"
"0.0798","3338.6204"
"0.0815","3357.6181"
"0.0831","3375.6083"
"0.0848","3392.1970"
"0.0865","3408.7123"
"0.0881","3424.5828"
"0.0898","3439.4595"
"0.0915","3453.8297"
"0.0931","3467.9358"
"0.0948","3481.1060"
"0.0965","3493.5831"
"0.0981","3505.9424"
"0.0998","3517.6414"
"0.1014","3528.2775"
"0.1031","3538.7199"
"0.1048","3548.9375"
"0.1065","3557.8675"
"0.1081","3566.2504"
"0.1098","3574.3881"
"0.1115","3581.6577"
"0.1131","3587.5184"
"0.1148","3593.2088"
"0.1165","3598.1454"
"0.1181","3601.2712"
"0.1198","3603.6168"
"0.1215","3604.9953"
"0.1231","3604.5239"
"0.1248","3601.5415"
"0.1265","3597.8137"
"0.1281","3592.2639"
"0.1298","3583.8086"
"0.1315","3574.5754"
"0.1331","3564.5503"
"0.1348","3552.4482"
"0.1365","3539.8729"
"0.1381","3527.0698"
"0.1398","3513.2465"
"0.1415","3498.6552"
"0.1431","3484.3842"
"0.1448","3469.5800"
"0.1465","3453.8534"
"0.1481","3438.1945"
"0.1498","3422.8836"
"0.1514","3406.4267"
"0.1531","3389.6826"
"0.1548","3373.4783"
"0.1565","3356.6269"
"0.1581","3339.1644"
"0.1598","3321.9389"
"0.1615","3304.7353"
"0.1631","3286.4766"
"0.1648","3268.3446"
"0.1665","3250.3656"
"0.1681","3231.7789"
"0.1698","3212.6956"
"0.1715","3193.9888"
"0.1731","3174.7870"
"0.1748","3154.9342"
"0.1765","3135.2847"
"0.1781","3115.5672"
"0.1798","3094.9005"
"0.1815","3074.2208"
"0.1831","3053.6442"
"0.1848","3032.4831"
"0.1865","3010.8227"
"0.1881","2989.2223"
"0.1898","2967.3421"
"0.1915","2944.7293"
"0.1931","2921.8638"
"0.1948","2899.1998"
"0.1965","2875.5902"
"0.1981","2851.5567"
"0.1998","2827.7560"
"0.2015","2803.2132"
"0.2031","2777.9265"
"0.2048","2752.7095"
"0.2065","2727.2530"
"0.2081","2700.6663"
"0.2098","2673.9289"
"0.2115","2647.1233"
"0.2131","2619.3954"
"0.2148","2591.0873"
"0.2165","2562.7019"
"0.2181","2534.4343"
"0.2196","2506.0856"
"0.2212","2477.8090"
"0.2227","2449.7064"
"0.2242","2421.4182"
"0.2257","2393.1771"
"0.2271","2364.8801"
"0.2285","2336.6666"
"0.2299","2308.4533"
"0.2313","2280.1961"
"0.2326","2252.0032"
"0.2339","2223.7776"
"0.2352","2195.5311"
"0.2365","2167.3306"
"0.2377","2139.0764"
"0.2390","2110.6908"
"0.2402","2082.3842"
"0.2413","2054.2732"
"0.2425","2025.9965"
"0.2436","1997.8244"
"0.2447","1969.5534"
"0.2457","1941.1252"
"0.2468","1912.9949"
"0.2478","1884.5618"
"0.2488","1856.0640"
"0.2498","1827.7779"
"0.2507","1799.4082"
"0.2517","1770.9411"
"0.2525","1742.5806"
"0.2531","1713.5562"
"0.2533","1684.1701"
"0.2535","1654.5752"
"0.2536","1625.7306"
"0.2537","1595.1212"
"0.2538","1563.4002"
"0.2539","1531.8304"
"0.2539","1503.1904"
"0.2540","1468.9274"
"0.2540","1427.2974"
"0.2540","1394.3089"
"0.2541","1356.3801"
"0.2541","1313.1771"
"0.2541","1264.7808"
"0.2542","1211.6426"
"0.2542","1183.5050"
"0.2542","1154.4493"
"0.2542","1124.5756"
"0.2543","1093.9856"
"0.2543","1062.7797"
"0.2543","1031.0548"
"0.2543","998.9045"
"0.2543","966.4170"
"0.2543","933.6738"
"0.2544","900.7457"
"0.2544","867.6866"
"0.2544","834.5240"
"0.2544","801.2559"
"0.2544","767.8659"
"0.2544","734.3545"
"0.2545","700.7617"
"0.2545","667.1655"
